page	line	mather token	marchant token	book	chapter	section																		
Darius on his deathbed sends for Cyrus																								
53	18	δὲ	δὲ	1	1	9																		
53	18	λαβὼν	λαβὼν	1	1	9																		
53	18	τὸ	τὸ	1	1	9																		
53	18	χρυσίον	χρυσίον	1	1	9																		
53	19	στράτευμα	στράτευμα	1	1	9																		
53	19	συνέλεξεν	συνέλεξεν	1	1	9																		
53	19	ἀπὸ	ἀπὸ	1	1	9																		
53	20	τούτων	τούτων	1	1	9																		
53	20	τῶν	τῶν	1	1	9																		
53	20	χρημάτων	χρημάτων	1	1	9																		
53	20	,																						
53	20	καὶ	καὶ	1	1	9																		
53	20	ἐπολέμει	ἐπολέμει	1	1	9																		
53	21	ἐκ	ἐκ	1	1	9																		
53	21	Χερρονήσου	Χερρονήσου	1	1	9																		
53	21	ὁρμώμενος	ὁρμώμενος	1	1	9																		
53	22	τοῖς	τοῖς	1	1	9																		
53	22	Θρᾳξὶ	Θρᾳξὶ	1	1	9																		
53	22	τοῖς	τοῖς	1	1	9																		
53	22	ὑπὲρ	ὑπὲρ	1	1	9																		
53	22	Ἑλλήσποντον	Ἑλλήσποντον	1	1	9																		
53	23	οἰκοῦσι	οἰκοῦσι	1	1	9																		
53	23	καὶ	καὶ	1	1	9																		
53	23	ὠφέλει	ὠφέλει	1	1	9																		
53	23	τοὺς	τοὺς	1	1	9																		
53	24	Ἕλληνας	Ἕλληνας	1	1	9																		
53	24	·	·	1	1	9																		
53	24	ὥστε	ὥστε	1	1	9																		
53	24	καὶ	καὶ	1	1	9																		
53	24	χρήματα	χρήματα	1	1	9																		
53	24	συνεβάλλοντο	συνεβάλλοντο	1	1	9																		
53	24	αὐτῷ	αὐτῷ	1	1	9																		
53	24	εἰς	εἰς	1	1	9																		
53	25	τὴν	τὴν	1	1	9																		
53	25	τροφὴν	τροφὴν	1	1	9																		
53	25	τῶν	τῶν	1	1	9																		
53	25	στρατιωτῶν	στρατιωτῶν	1	1	9																		
53	25	αἱ	αἱ	1	1	9																		
53	25	Ἑλλησποντιακαὶ	Ἑλλησποντιακαὶ	1	1	9																		
53	25	πόλεις	πόλεις	1	1	9																		
